"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01454","北海道 当麻町","","20,490","20,490","7,075","0","13,405","13,405","0","81,738,658","3,564,449"
"2014100000","2014年度","01455","北海道 比布町","","8,690","8,690","4,247","0","4,437","4,437","0","54,723,672","1,333,933"
"2014100000","2014年度","01456","北海道 愛別町","","25,013","25,013","4,502","0","20,485","20,383","102","75,977,014","1,609,810"
"2014100000","2014年度","01457","北海道 上川町","","104,947","104,947","15,798","0","89,150","89,142","8","57,423,862","1,697,801"
"2014100000","2014年度","01458","北海道 東川町","","24,730","24,730","7,448","0","16,809","16,806","3","67,618,283","3,405,154"
"2014100000","2014年度","01459","北海道 美瑛町","","67,678","67,678","31,419","0","36,151","36,104","47","286,322,513","4,950,522"
"2014100000","2014年度","01460","北海道 上富良野町","","23,710","23,710","11,988","0","11,768","11,421","347","128,487,802","4,138,584"
"2014100000","2014年度","01461","北海道 中富良野町","","10,865","10,865","6,640","0","4,191","4,183","8","87,162,683","2,668,951"
"2014100000","2014年度","01462","北海道 南富良野町","","66,554","66,554","9,562","0","56,713","56,108","605","99,841,120","1,037,930"
"2014100000","2014年度","01463","北海道 占冠村","","57,141","57,141","4,832","0","52,134","52,063","71","43,398,497","577,420"
"2014100000","2014年度","01464","北海道 和寒町","","22,511","22,511","8,042","0","14,372","14,208","164","111,982,599","2,228,034"
"2014100000","2014年度","01465","北海道 剣淵町","","13,099","13,099","9,078","0","3,805","3,804","1","109,456,680","2,064,255"
"2014100000","2014年度","01468","北海道 下川町","","64,420","64,420","8,925","0","55,470","55,379","91","83,116,540","1,603,360"
"2014100000","2014年度","01469","北海道 美深町","","67,209","67,209","9,464","0","57,808","57,767","41","106,874,841","2,339,291"
"2014100000","2014年度","01470","北海道 音威子府村","","27,563","27,563","3,856","0","23,692","23,687","5","31,602,784","346,451"
"2014100000","2014年度","01471","北海道 中川町","","59,474","59,474","8,516","0","51,146","51,014","132","66,424,382","1,179,275"
"2014100000","2014年度","01472","北海道 幌加内町","","76,704","76,704","14,495","0","63,526","63,515","11","122,932,151","1,204,208"
"2014100000","2014年度","01481","北海道 増毛町","","36,971","36,971","4,766","0","32,184","31,960","224","72,090,346","1,114,262"
"2014100000","2014年度","01482","北海道 小平町","","62,722","62,722","7,687","0","55,057","54,792","265","144,053,227","1,174,982"
"2014100000","2014年度","01483","北海道 苫前町","","45,460","45,460","9,033","0","36,406","36,306","100","98,120,096","1,453,642"
"2014100000","2014年度","01484","北海道 羽幌町","","47,265","47,265","8,173","0","38,331","38,154","177","94,200,506","2,284,557"
"2014100000","2014年度","01485","北海道 初山別村","","27,951","27,951","5,017","0","22,940","22,814","126","99,572,456","739,452"
"2014100000","2014年度","01486","北海道 遠別町","","59,080","59,080","9,683","0","49,366","48,754","612","147,960,622","1,164,765"
