"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年06月21日"

"NA","欠測値"

"","","","","/項目 コード","A1101","","A1301","","A1302","","A1303","","E1101","","E2101","","E3101","","E4101","","I5101","","#A05101","","#A05302","","#A05303","","#F01201","","#F01202","","#F01203",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_15歳未満人口【人】","注釈","A1302_15～64歳人口【人】","注釈","A1303_65歳以上人口【人】","注釈","E1101_幼稚園数【園】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","E4101_高等学校数【校】","注釈","I5101_病院数【施設】","注釈","#A05101_人口増減率【％】","注釈","#A05302_転入率（日本人移動者）【％】","注釈","#A05303_転出率（日本人移動者）【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#F01202_第2次産業就業者比率【％】","注釈","#F01203_第3次産業就業者比率【％】","注釈"
"2015100000","2015年度","01394","北海道 蘭越町","","4,843","","506","","2,536","","1,801","","1","","2","","1","","1","","1","","-8.48","","3.32","","3.94","","28.64","","13.48","","56.74",""
"2015100000","2015年度","01395","北海道 ニセコ町","","4,958","","652","","2,893","","1,322","","1","","2","","1","","1","","0","","2.80","","5.43","","5.69","","19.02","","8.96","","70.79",""
"2015100000","2015年度","01396","北海道 真狩村","","2,103","","239","","1,165","","698","","0","","2","","1","","1","","0","","-3.93","","3.23","","4.85","","42.66","","5.33","","50.17",""
"2015100000","2015年度","01397","北海道 留寿都村","","1,907","","243","","1,202","","462","","0","","1","","1","","1","","0","","-6.24","","4.67","","5.82","","29.84","","7.01","","62.65",""
"2015100000","2015年度","01398","北海道 喜茂別町","","2,294","","207","","1,204","","866","","0","","2","","1","","0","","0","","-7.87","","4.45","","6.28","","22.88","","11.23","","64.98",""
"2015100000","2015年度","01399","北海道 京極町","","3,187","","388","","1,645","","1,144","","0","","2","","1","","0","","1","","-16.37","","2.86","","3.77","","21.80","","19.21","","58.67",""
"2015100000","2015年度","01400","北海道 倶知安町","","15,018","","2,125","","9,097","","3,708","","3","","5","","1","","2","","1","","-3.53","","6.52","","6.93","","9.07","","11.83","","76.18",""
"2015100000","2015年度","01401","北海道 共和町","","6,224","","721","","3,670","","1,824","","2","","3","","1","","1","","0","","-3.17","","3.68","","5.45","","26.26","","21.94","","51.54",""
"2015100000","2015年度","01402","北海道 岩内町","","13,042","","1,367","","7,241","","4,408","","3","","2","","2","","1","","1","","-9.75","","3.25","","4.67","","3.45","","32.48","","62.82",""
"2015100000","2015年度","01403","北海道 泊村","","1,771","","195","","951","","625","","0","","1","","1","","0","","0","","-5.95","","4.29","","4.18","","8.57","","15.45","","75.65",""
"2015100000","2015年度","01404","北海道 神恵内村","","1,004","","78","","468","","458","","0","","1","","1","","0","","0","","-10.52","","2.29","","2.99","","18.43","","11.44","","70.13",""
"2015100000","2015年度","01405","北海道 積丹町","","2,115","","191","","996","","926","","0","","4","","1","","0","","0","","-15.94","","2.74","","4.49","","29.05","","13.52","","54.27",""
"2015100000","2015年度","01406","北海道 古平町","","3,188","","253","","1,641","","1,294","","0","","1","","1","","0","","0","","-11.71","","1.66","","3.11","","14.23","","29.67","","56.04",""
"2015100000","2015年度","01407","北海道 仁木町","","3,498","","351","","1,847","","1,300","","0","","2","","2","","0","","0","","-7.95","","3.43","","3.97","","50.67","","6.83","","41.59",""
"2015100000","2015年度","01408","北海道 余市町","","19,607","","1,995","","10,452","","7,130","","3","","5","","3","","2","","2","","-7.77","","3.56","","3.85","","16.65","","16.68","","66.37",""
"2015100000","2015年度","01409","北海道 赤井川村","","1,121","","139","","618","","364","","0","","2","","1","","0","","0","","-11.17","","5.98","","6.16","","35.05","","11.06","","53.89",""
"2015100000","2015年度","01423","北海道 南幌町","","7,927","","739","","4,825","","2,362","","1","","1","","1","","1","","1","","-9.69","","2.62","","4.58","","18.91","","18.28","","60.18",""
"2015100000","2015年度","01424","北海道 奈井江町","","5,674","","516","","2,945","","2,212","","0","","1","","1","","1","","1","","-8.40","","3.08","","3.31","","16.83","","26.78","","56.11",""
"2015100000","2015年度","01425","北海道 上砂川町","","3,479","","258","","1,567","","1,654","","0","","1","","1","","0","","0","","-14.86","","2.82","","4.92","","2.07","","27.31","","69.66",""
"2015100000","2015年度","01427","北海道 由仁町","","5,314","","538","","2,773","","2,003","","1","","2","","1","","0","","1","","-9.87","","2.67","","3.41","","35.29","","15.43","","48.37",""
"2015100000","2015年度","01428","北海道 長沼町","","11,076","","1,166","","6,065","","3,840","","1","","5","","1","","1","","1","","-5.26","","3.45","","3.83","","31.45","","12.03","","54.40",""
